,0,1,2,3,4,5
79,강남에 건물 1개가 아니라 3개임,노휴먼,2023-02-15T23:58:55Z,2023-02-15T23:58:55Z,0,ZfK9ER8Xh7w
80,굿 당연하죠,10냥이를부탁해,2023-02-15T23:53:45Z,2023-02-15T23:53:45Z,0,ZfK9ER8Xh7w
81,근데 음주운전은 왜함?,kim bi o 애미 토막낸후 들개한테 던져줌ㅎㅎ,2023-02-15T23:45:21Z,2023-02-15T23:45:21Z,1,ZfK9ER8Xh7w
82,"내가 어떤일을 시작하면서 서장훈같이 결벽증이 있었었는데..
진심 저거 본인스스로 힘들어짐.. 
조금만 내려놓으면 편해집니다
서장훈님도 조금만 내려놓으시길..",비공개,2023-02-15T23:42:56Z,2023-02-15T23:42:56Z,0,ZfK9ER8Xh7w
83,오정연님이 못버틸만하다..,j,2023-02-15T23:31:50Z,2023-02-15T23:31:50Z,1,ZfK9ER8Xh7w
84,솔직히 털털한 사람하고는 같이살아도 저정도 강박증인 사람은 절대 누구랑도 같이 못삶,JHeartU,2023-02-15T23:29:56Z,2023-02-15T23:29:56Z,1,ZfK9ER8Xh7w
85,집은 초깔끔한데 생활은 소파에 널브러져서 뒹굴거리는거 ㅋㅋ안어울림,도래,2023-02-15T23:28:11Z,2023-02-15T23:28:11Z,1,ZfK9ER8Xh7w
86,"평범하게살고있었음
뒈졌긋네ㅎㅎㅎ
역시 개한민국은 스타되면
돈버는건 한순간이군ㅋ",ᄋᄋ,2023-02-15T23:20:23Z,2023-02-15T23:20:23Z,0,ZfK9ER8Xh7w
87,"그래도 저희집보단 평범한데요?
전 쇼파에서 발올리고 눕지않고 쇼파도 비닐에쌓여잇어요 청소는 한시간에 한번씩 물티슈로 먼지제거해주고 바닥도 무조건 슬리퍼신고 다닙니다.",christopher donny,2023-02-15T23:12:42Z,2023-02-15T23:12:42Z,0,ZfK9ER8Xh7w
88,멋지네요~내가 깔끔하게 살며 내적 편안함을 느낀다면 그게 최고의삶 아닌가요^^ 그리고 막 호화로운집아니고 그냥 우리집같아서 친근해요ㅋㅋ 냉장고...가 작네요 우와,서은또리맘,2023-02-15T23:06:08Z,2023-02-15T23:06:08Z,1,ZfK9ER8Xh7w
89,아 근데 진짜 심플하고 깔끔하게 사네 군더더기 없네 ㅋㅋㅋㅋㅋ,MC댕댕,2023-02-15T23:04:35Z,2023-02-15T23:04:35Z,1,ZfK9ER8Xh7w
90,"더럽게 사는것보다
깔끔한게 훨씬좋지^^",고양이 KOKO KUKU,2023-02-15T22:47:44Z,2023-02-15T22:47:44Z,1,ZfK9ER8Xh7w
91,청소하는 모습 보고싶은데.. (루틴과 비결을 알고파),참다랑어,2023-02-15T22:44:57Z,2023-02-15T22:44:57Z,0,ZfK9ER8Xh7w
92,김나래 인가?,JS L,2023-02-15T22:41:49Z,2023-02-15T22:41:49Z,0,ZfK9ER8Xh7w
93,누군가 갇이 살기는 힘들듯요~~ 서장훈.특별함은 존중함,노력형,2023-02-15T22:39:33Z,2023-02-15T22:39:33Z,2,ZfK9ER8Xh7w
94,본인만좋으면되죠^^,tv책읽는 원숭이,2023-02-15T22:29:50Z,2023-02-15T22:29:50Z,0,ZfK9ER8Xh7w
95,"철저한 방역 후 ""여성만"" ㅋㅋㅋㅋㅋㅋㅋㅋ",성이름,2023-02-15T22:25:47Z,2023-02-15T22:25:47Z,0,ZfK9ER8Xh7w
96,나타샤가 누군지 공개되나요??,박 봄이,2023-02-15T22:12:55Z,2023-02-15T22:12:55Z,1,ZfK9ER8Xh7w
97,그래서 나타샤 누군데?,오백원,2023-02-15T21:57:02Z,2023-02-15T21:57:02Z,0,ZfK9ER8Xh7w
98,정형돈 투입하면 고치기 쌉가능,굼벵이,2023-02-15T21:38:24Z,2023-02-15T21:38:24Z,2,ZfK9ER8Xh7w
99,"전에 볼 때도 느꼈지만 별로 안 깔끔한데?
정리정돈 안되있음.수납장에 넣지..먼지 쌓이고..
너무 너져분함",서쪽하늘,2023-02-15T21:26:47Z,2023-02-15T21:28:31Z,2,ZfK9ER8Xh7w
100,상상으로는 으리으리한 거대한 집에 미국 대저택같은 넓은 곳에다가 다양한 팬 선물들 쌓여있고 집에 보조인 관리인 가사도우미등 많이 데리고 살줄 알았는데 매우 곰소하고 햇반 즐기고 소파에 누워 리모콘 조작만 하는 현실 아저씨 모습 그대로다.대화도 순수하고 그냥 호감형이다,지윤도윤아빠,2023-02-15T21:18:29Z,2023-02-15T21:18:29Z,0,ZfK9ER8Xh7w
101,집은 깨끗하지만 행실은 깨끗하지 못한...,Yungjin An,2023-02-15T21:12:00Z,2023-02-15T21:12:00Z,2,ZfK9ER8Xh7w
102,이기적인 인간 저렇게살거면 결혼을하질말던가 멀쩡한 오정연 쫓아다녀서 결혼한주제에 이혼녀 만들고 냅뒀으면 전문직에 잘난 남자랑결혼했을텐데 저런 인성에 티비에나와서 세상착한척,bianchi811,2023-02-15T21:11:39Z,2023-02-15T21:11:39Z,3,ZfK9ER8Xh7w
103,표정  귀욤  누워잇는  모습은  섹시하시네요  ㅋ,김선미,2023-02-15T20:35:55Z,2023-02-15T20:35:55Z,0,ZfK9ER8Xh7w
104,"제가 좋아했던 분이랑 비슷한 점이 넘많아서 신기해요 그분도 노총각이시거든요..
1. 엄청 깨끗함 (분리수거 철저, 바닥 청소 철저, 설거지할때 딱붙는 일회용 장갑, 음쓰망 등)
2. 집에서 혼자 티비 보내며 충전함
3. 젊었을때 받은 여자가 써준 감동적인 손편지 아직 갖고있음 은근 감성적인듯",Serena Youngsun Kim,2023-02-15T20:27:29Z,2023-02-15T20:27:29Z,1,ZfK9ER8Xh7w
105,솔직히 부럽다 저런깔끔함 그리 심한거도 아니구만,덤벼보라며약을올린다,2023-02-15T19:42:07Z,2023-02-15T19:42:07Z,0,ZfK9ER8Xh7w
106,남자가 외로운면 한번 만나서 쇼핑해,여인여인,2023-02-15T19:32:30Z,2023-02-15T19:32:30Z,1,ZfK9ER8Xh7w
107,가시네가  못한 말을 한네  너는 얼마나 깨끗이 목욕해  얼굴이도 예쁜면 몰라도 안이쁜고,여인여인,2023-02-15T19:28:04Z,2023-02-15T19:28:26Z,0,ZfK9ER8Xh7w
108,"오정연이랑 결혼하고 이혼했는데
오정연이 예능에서 집공개 한적이 있는데
그거 보면 왜 이혼했는지 알수있음
쓰레기 안버리고 모으는 강박증같은거 있어서
집안이 개판임 심지어 촬영한다고 예고하고 왔는데도
집안이 돼지우리라서 서장훈이랑 왜 이혼했는지 알수있었음",짱구,2023-02-15T19:22:18Z,2023-02-15T19:22:18Z,0,ZfK9ER8Xh7w
109,남자는 혼자사 편하게있고 여자들는 일한고 ㅋㅋㅋ,여인여인,2023-02-15T19:14:50Z,2023-02-15T19:14:50Z,0,ZfK9ER8Xh7w
110,여자분 말투가 엄청 나이드신거같아서 찾아보니 안문숙누님이셨네 ㅋㅋㅋ,삐약삐약,2023-02-15T19:03:51Z,2023-02-15T19:03:51Z,0,ZfK9ER8Xh7w
111,장훈이형 종국이형처럼 유튜브 하나파서 공유좀 해줘.. 나도 집좀 깔금하게 하고싶어,황소,2023-02-15T19:02:22Z,2023-02-15T19:02:22Z,0,ZfK9ER8Xh7w
112,"깔끔한게 아닙니다
결백증 입니다 사람이 살면서 저렇게 살면 어떤 여자든 질려서 숨막혀 죽어요 성격 고치세요 밥안해먹는건 치우는게 귀찬아서 그러는거지 깔끔한게 아님니다 저렇게 하믄서 길거리서 훍은 어케 발고 숨은 어케쉬고다니고 외식도 못하는겁니다","파워유,",2023-02-15T19:00:56Z,2023-02-15T19:00:56Z,3,ZfK9ER8Xh7w
113,쯧쯧,정훈 이,2023-02-15T18:39:43Z,2023-02-15T18:39:43Z,1,ZfK9ER8Xh7w
114,"저도 이렇게사는데
자기만족이예요ㅎㅎ 강아지두마리랑남편이랑 개털이없을정도로 삽니다ㅎㅎ
청소하고 정리하는걸좋아해서
살균은물론  남들이집에오면 모델하우스인지알고 놀랩니다ㅎㅎ",a쏘쏘,2023-02-15T18:28:27Z,2023-02-15T18:28:27Z,0,ZfK9ER8Xh7w
115,와아~ 나랑 비슷~,낭중지추,2023-02-15T18:18:46Z,2023-02-15T18:18:46Z,0,ZfK9ER8Xh7w
116,레전드다 대통령집도 저렇게 방문안할거란말이지ㅎㅎㅎ🤣,김현섭,2023-02-15T17:57:28Z,2023-02-15T17:57:28Z,0,ZfK9ER8Xh7w
117,하차 할래 이러넼 ㅋㅋㅋㅋㅋㅋ개웃기닼ㅋㅋㅋ,HotDiGry,2023-02-15T17:56:57Z,2023-02-15T17:56:57Z,1,ZfK9ER8Xh7w
118,이거 옛날꺼자나... 왜 인급동이냐,2much,2023-02-15T17:47:28Z,2023-02-15T17:47:28Z,0,ZfK9ER8Xh7w
119,그래서 나타샤가 누구냐고!!,W,2023-02-15T17:45:41Z,2023-02-15T17:45:41Z,0,ZfK9ER8Xh7w
120,아휴. 짜증나 !!,정인식,2023-02-15T17:43:42Z,2023-02-15T17:43:42Z,1,ZfK9ER8Xh7w
121,별 지랄을 다하네 걍 안찍으면 될걸ㅋㅋ,하아끝내줬어,2023-02-15T17:17:07Z,2023-02-15T17:17:07Z,1,ZfK9ER8Xh7w
122,"서장훈보다 내가 더 심각하구나... 
서장훈 집도 안깨끗해보여...",국민의소리,2023-02-15T17:13:07Z,2023-02-15T17:13:21Z,1,ZfK9ER8Xh7w
123,생각보다 집에 검소하다... 티비도 엄청크고 막 그럴줄 알았는데 ㅋㅋㅋ,명장면,2023-02-15T17:07:36Z,2023-02-15T17:07:36Z,0,ZfK9ER8Xh7w
124,스텝 우르르 들어왔다고 뭐라 크게 화내지도 않네...예능이라 그런가?,이민서,2023-02-15T17:06:45Z,2023-02-15T17:06:45Z,0,ZfK9ER8Xh7w
125,몇년전인가보네요. 43세 라는거보니,Candle Roh,2023-02-15T17:01:25Z,2023-02-15T17:01:25Z,0,ZfK9ER8Xh7w
126,집에 자신이 소중하고 귀한 물건이 있어서  출입하는 사람들의 신분증을 검사하는 사람은 봤어도 이 경우는 조금 질리는데요.,안현수,2023-02-15T16:58:25Z,2023-02-15T16:58:25Z,2,ZfK9ER8Xh7w
127,근데 저렇게 다~치워놨는데 제작진이 촬연한답시고 먼지날리고 머리카락 떨어뜨리고 가고 그러면 나같아도 열받을듯. 본인 집에서만 그렇게 생활하는것뿐이고 남한테 피해 안주고 살면 되는거지뭐~오히려 유난떤다면서 남의집에 와서 허락도 없이 무례하게 행동하는 사람이 가정교육 제대로 못받은거..,ㅇㅇ,2023-02-15T16:57:29Z,2023-02-15T16:57:29Z,0,ZfK9ER8Xh7w
128,"ㅋㅋ결벽증 축에도못드시는거같음
  결벽증이라는글 내려주세요",돈이라는게말이야독기가쎄거덩,2023-02-15T16:57:15Z,2023-02-15T16:57:15Z,1,ZfK9ER8Xh7w
129,아니 그래서 나타샤가 누군데요,군침이싹도노,2023-02-15T16:56:18Z,2023-02-15T16:56:18Z,0,ZfK9ER8Xh7w
130,"장훈이형 ~ 항상 응원합니다😊😊
너무 좋으신 분 같아요~",굿리치,2023-02-15T16:55:28Z,2023-02-15T16:55:28Z,0,ZfK9ER8Xh7w
131,티비 액스캔버스 PAVV 2006~7년식모델ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미쳤다 가난한 우리집도 스마트TV 플렉서블 엄청 크게 설치했는데,Zin,2023-02-15T16:48:36Z,2023-02-15T16:48:36Z,0,ZfK9ER8Xh7w
