video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
9rQFcJHtAhs,24,Entertainment,주변에서 만날 수 있는 고대 이집트 2편,1434621,12206,2022-05-01 10:00:08+00:00,#곽민수,191
O0GBSyWlLHk,24,Entertainment,김치찌개는 원래 하얗다,1695884,14791,2022-04-29 10:00:23+00:00,#주호민,193
PBUBzuGPoVY,24,Entertainment,주변에서 만날 수 있는 고대 이집트 1편,2781208,22617,2022-04-23 10:01:37+00:00,#곽민수,197
FNNi7FiMArM,24,Entertainment,임세모의 밥버거,1126071,10140,2022-04-16 10:00:13+00:00,#임세모,199
EwFgMLIkQdg,24,Entertainment,침&펄의 써브웨이 로티세리 바비큐 치킨 심층분석,853455,10209,2022-04-13 10:00:16+00:00,#주호민,200
tAEUm8sxbgU,24,Entertainment,통닭천사의 돼지 파스타,3243083,27331,2022-04-12 10:00:23+00:00,#통닭천사,201
aKKZpCOLYic,24,Entertainment,한국 마술 공모전 월드컵: 뉴노멀 부문,456721,4344,2022-03-29 10:00:00+00:00,#주호민,206
vV8XLaSE8-s,24,Entertainment,나라가 허락한 유일한 보약 월드컵,2145883,15360,2022-03-24 10:00:33+00:00,#김풍 #주호민,208
8Zth5QrketM,24,Entertainment,오랜만에 카레 먹으면서 잡담,1434843,14448,2022-03-21 10:00:03+00:00,#주호민,210
a6470TMHpFc,24,Entertainment,매력있는 악역/악당 월드컵,3572573,17715,2022-02-27 10:00:00+00:00,#김풍 #주호민,219
QHWObLSDEbc,24,Entertainment,K-히어로를 만들어보자,891945,12000,2022-02-18 10:48:08+00:00,#주호민,222
kOl27s1mgrg,24,Entertainment,더 놀라운 이왜진? 월드컵,4133944,18176,2022-01-24 10:00:30+00:00,#김풍,230
jQTkB4d_wms,24,Entertainment,전무아저씨와 도시락 먹으며 잡담,1188441,9730,2022-01-19 10:00:31+00:00,#김풍,233
AOr439f6bJU,24,Entertainment,나라가 허락한 대마커피,954646,12280,2022-01-17 10:00:04+00:00,#김풍,235
leOZrOGHj6U,24,Entertainment,최고의 겨울 간식 월드컵,2525633,15567,2022-01-13 10:00:16+00:00,#주호민,237
9H6yUo8oCWk,24,Entertainment,통닭천사의 떡볶이,2203885,17893,2022-01-06 10:00:05+00:00,#통닭천사,239
0pw5gBIAWQM,24,Entertainment,환타로 만든 뱅쇼 vs 쌍화탕으로 만든 모주,2239010,22269,2022-01-01 10:00:00+00:00,#주호민 #김풍,241
qTm-qUSKuC4,24,Entertainment,끓여먹는 콜드브루 커피,1557402,14723,2021-12-20 10:00:32+00:00,#주호민,246
uUoQ6SmZEgk,24,Entertainment,INTP특) 내 말만 맞음,1048221,13091,2021-12-15 10:00:23+00:00,#김풍,248
V_y3b_9ReU0,24,Entertainment,함께 먹으면 더 맛있는 부대찌개,2392238,18974,2021-12-13 10:00:12+00:00,#주호민,249
uUoQ6SmZEgk,24,Entertainment,INTP특) 내 말만 맞음,1048221,13091,2021-12-15 10:00:23+00:00,#김풍,250
V_y3b_9ReU0,24,Entertainment,함께 먹으면 더 맛있는 부대찌개,2392238,18974,2021-12-13 10:00:12+00:00,#주호민,251
6qQWZmk5_WY,24,Entertainment,추운 날씨엔 장칼국수,2069675,16058,2021-12-11 10:00:02+00:00,#주호민,253
JqRSCS9HS2I,24,Entertainment,피자계의 평양냉면,1360091,12524,2021-12-08 10:00:06+00:00,#김풍,255
RHklOW-bL_c,24,Entertainment,침착맨이 그나마 좋아하는 김치 월드컵,914477,8365,2021-12-07 10:00:10+00:00,#김풍,256
bxUK_9rpFLw,24,Entertainment,미국식 덮밥,2104225,15150,2021-11-18 10:00:31+00:00,#주호민 #김풍,262
4zIQ55coQmU,24,Entertainment,카톡 고백 월드컵,4084352,32005,2021-11-13 10:00:02+00:00,#주호민 #김풍,265
ytyJgnfb40Q,1,Film & Animation,"듄 (Dune, 2021) 감상회 (with 주호민)",1826022,14604,2021-10-31 10:00:34+00:00,#주호민,268
