video_id,category_id,category_name,title,views_count,like_count,uploaded_at,tags,origin_index
-skXi3GaUBg,24,Entertainment,원피스 캐릭터 싸움 실력 서열 정하기,2116243,26,2022-05-03 10:00:00+00:00,None,189
8JCgwrKv4iI,24,Entertainment,이카리 신지처럼 행동하는 법,1345052,26,2022-04-30 10:00:06+00:00,None,192
llhcTERck_I,24,Entertainment,절대 따라하면 안되는 담배 피우는 법,1510750,26,2022-04-28 10:00:33+00:00,None,194
K6t_W23gdMs,24,Entertainment,이 악물고 그리는 침착맨 vs 이 갈고 맞히는 시청자,1589629,26,2022-04-25 10:00:09+00:00,None,195
plWWnw-SB_E,24,Entertainment,희대의 라이벌 월드컵,968665,26,2022-04-24 04:00:20+00:00,None,196
g5Tt9UKkcMY,24,Entertainment,매운 떡볶이 먹는 법,793938,26,2022-04-21 10:00:21+00:00,None,198
TgK4D3Ctsyc,24,Entertainment,'거짓말의 과학' 특강 | 제2부 노력하지 않았다는 거짓말,1200041,26,2022-04-11 10:00:15+00:00,None,202
O6eNm5sPOsM,24,Entertainment,그만둘 직장에 놀러가면 안 되는 이유,1641329,26,2022-04-10 10:00:11+00:00,None,203
FkCgVt3DSC0,24,Entertainment,'거짓말의 과학' 특강 | 제1부 몸풀기 퀴즈는 쌓인다,1635312,26,2022-04-08 10:00:08+00:00,None,204
iT29drEfolI,24,Entertainment,시청자 패션 훈수하기,1546408,30,2022-04-03 10:00:07+00:00,None,205
3EF4ZLDWPYk,24,Entertainment,고생대(古生代)를 알아보자,1741889,36,2022-03-27 10:00:03+00:00,None,207
1Chiz7T6U-M,24,Entertainment,예비 아빠 김풍 작가님 육아용품 쇼핑,1836104,36,2022-03-22 10:00:01+00:00,None,209
SKh-JfQhLrg,28,Science & Technology,강한 양파만 살아남는다,893992,36,2022-03-16 10:00:14+00:00,None,211
DGR1Og-cjOs,24,Entertainment,침착맨은 정말로 금연 중인가?,1968299,36,2022-03-15 10:00:05+00:00,None,212
EX_MvyhKO9o,24,Entertainment,우주먼지 콜라로 만든 수육,1635414,36,2022-03-14 10:00:05+00:00,None,213
FQQ3CD4gLCY,24,Entertainment,요트 쇼핑,1319684,36,2022-03-12 10:00:08+00:00,None,214
R5f98wSPS1g,24,Entertainment,하남자식으로 협상하는 게임,645122,36,2022-03-11 10:00:12+00:00,None,215
22mWmctLFOg,24,Entertainment,걸리기 싫은 질병 월드컵,1111819,36,2022-03-08 10:00:04+00:00,None,216
31FwmCAEJww,24,Entertainment,상남자특) 순댓국 특 먹음,3025416,36,2022-03-02 10:00:02+00:00,None,217
Te7sCYDmFVI,24,Entertainment,아이디어 대결을 가장한 채널 암살,646301,36,2022-02-28 10:00:11+00:00,None,218
757GTaXR0jQ,24,Entertainment,특이점이 온 젤리 쇼핑,1137860,36,2022-02-24 10:00:02+00:00,None,220
qMvfuziJwRE,24,Entertainment,괴상한 코믹스 캐릭터 월드컵,1232727,36,2022-02-21 10:00:32+00:00,None,221
jPGDLCWHUQE,24,Entertainment,노딱 설명회는 노딱을 받을까?,726887,36,2022-02-15 10:00:15+00:00,None,223
hVE_Qc6PjoA,24,Entertainment,금연 23일차에 하는 담배 월드컵,3988562,36,2022-02-05 10:00:19+00:00,None,224
oLevYAYl0oA,24,Entertainment,⟪TRPG 병거니우스의 모험⟫ 합본판,813418,36,2022-02-02 04:00:13+00:00,None,225
GEeygaem4ow,24,Entertainment,⟪침vs펄 토론⟫ 합본판,2407248,36,2022-02-01 04:00:16+00:00,None,226
-dlJP9QTWAM,24,Entertainment,명절에 늦게 온 통천,3101744,36,2022-01-31 10:02:18+00:00,None,227
HlsL7Aw0ez4,24,Entertainment,원피스 '밀짚모자 일당' NEW 구조조정안,2183036,36,2022-01-27 10:00:07+00:00,None,228
uKej8YD7Rlg,24,Entertainment,삼괴권(三壞拳)의 고수를 찾아서,798466,36,2022-01-25 20:59:03+00:00,None,229
dz3lctZkn9o,24,Entertainment,맵크나이트의 엄청 매운 킹뚜껑 먹방,939678,36,2022-01-21 10:00:31+00:00,None,231
cmPAz7k3njs,24,Entertainment,'히어로의 과학' 특강 | 제2부 하루종일 설명할 수도 있어,1983831,36,2022-01-20 10:00:15+00:00,None,232
AsdHKLOM8uQ,24,Entertainment,'히어로의 과학' 특강 | 제1부 2021년의 히어로,1736263,36,2022-01-18 10:00:09+00:00,None,234
gsCrrBZQFqU,24,Entertainment,신생대(新生代)를 알아보자,1069679,36,2022-01-15 10:00:31+00:00,None,236
vm0O-Hpjs4g,24,Entertainment,오랜만에 버거형제,962169,36,2022-01-12 10:00:37+00:00,None,238
-YZ_z_TRBnY,24,Entertainment,치킨계의 냉전시대,770922,36,2022-01-03 10:00:00+00:00,None,240
lSt2UnEmGxc,24,Entertainment,포켓몬 괴담과 검은 닌텐도,2512286,36,2021-12-27 10:00:17+00:00,None,242
J_1iXthSH5o,24,Entertainment,그 와중에 밥은 맛있고,1119441,40,2021-12-25 10:00:16+00:00,None,243
IGvnjQrV09w,24,Entertainment,MBTI 유형 진짜 맞나 확인하기,799546,42,2021-12-24 10:00:10+00:00,None,244
JI54WbfBOOM,24,Entertainment,쏘영이의 생일 카드 만들기,1143561,43,2021-12-22 10:00:07+00:00,None,245
g8BNuj5C0vE,24,Entertainment,진짜 나와버린 철면수심 차돌짬뽕,1675864,45,2021-12-18 10:00:32+00:00,None,247
QapJKN-_ha4,24,Entertainment,호크아이 슨배임 살려내라 이놈들아,1002222,49,2021-12-12 10:00:08+00:00,None,252
aEgov1XHmos,24,Entertainment,라텍스 수제비,906311,49,2021-12-09 10:00:01+00:00,None,254
GOb70rO9JUY,24,Entertainment,'로켓 과학' 특강 | 제2부 NASA와 VSVN,3242762,49,2021-11-29 10:00:05+00:00,None,257
6Y1kWcrFKQo,24,Entertainment,'로켓 과학' 특강 | 제1부 비둘기부터 로켓까지,2954782,49,2021-11-27 10:00:01+00:00,None,258
eV7RaPDIG-w,24,Entertainment,남캠맨,1378673,49,2021-11-26 10:00:31+00:00,None,259
vc5cLIQu4oo,24,Entertainment,곰탕 라면,857163,49,2021-11-21 10:00:32+00:00,None,260
kXVOrZl9HmE,24,Entertainment,호빵업계 어디까지 가는가,1943379,49,2021-11-19 10:00:16+00:00,None,261
oec-F62u-Vg,24,Entertainment,"미지의 생명체, 크립티드(Cryptid)를 알아보자",1042834,49,2021-11-16 10:00:16+00:00,None,263
sd_s9SLFphw,24,Entertainment,침착맨의 뿌리를 찾아서 | 3화 안산 편(完),556932,49,2021-11-14 10:00:13+00:00,None,264
leQNQ5MTsfw,24,Entertainment,삼국지에 미친 사람의 택배,907970,49,2021-11-09 10:00:15+00:00,None,266
HzxdVaKaPyA,24,Entertainment,버섯(Mushroom)을 알아보자,1139122,49,2021-11-01 10:00:06+00:00,None,267
tYHgOCT68VE,24,Entertainment,침착맨 판타지 삼국지,637298,49,2021-10-18 10:00:21+00:00,None,271
TAA2lvidJPw,24,Entertainment,버튜버 아이돌 로나로나땅,1494003,49,2021-10-14 10:00:24+00:00,None,272
Q7aA7E_WF0w,24,Entertainment,만델라 효과,1900287,49,2021-10-09 10:00:24+00:00,None,273
T14f1ZjqLRw,24,Entertainment,"어색, 뻘쭘, 부끄러운 순간 월드컵",1009418,56,2021-10-08 10:00:31+00:00,None,274
DxtJJ_GXMFk,24,Entertainment,하이킥 딱히 좋아하지 않는 사람,1354029,56,2021-10-07 10:00:13+00:00,None,275
HKzMkcNSNg8,24,Entertainment,매운볶음면 2개 푸드파이트,811835,56,2021-10-06 10:00:18+00:00,None,276
A646vX-4D1A,24,Entertainment,김 vs 김 상식퀴즈 대결,505371,56,2021-10-05 10:00:08+00:00,None,277
0uc-0xqWcwY,24,Entertainment,차돌짬뽕 로고와 호날두 개체수 줄이기,671605,56,2021-10-04 10:00:02+00:00,None,278
sNdK-ZHbByw,24,Entertainment,'양자역학' 특강 | 제2부 파동 침착맨과 입자 침착맨,2163286,56,2021-10-03 10:30:08+00:00,None,279
_5Jsp-bIeqU,24,Entertainment,"오징어 게임 (Squid Game, 2021) 감상회",2514476,56,2021-10-02 10:00:15+00:00,None,280
QK2-QUcp4zY,24,Entertainment,'양자역학' 특강 | 제1부 양자역학과 위기의 브라질 사람들,2869436,56,2021-10-01 10:00:32+00:00,None,281
NSsfNvAuz_w,24,Entertainment,인천 설명회,1539511,56,2021-09-17 10:00:12+00:00,None,282
1v3ogco8zF8,24,Entertainment,차돌짬뽕 청문회,1455282,56,2021-09-15 10:00:01+00:00,None,283
uhZ7xQiu7Qg,24,Entertainment,좀비사태 발생시 착용할 방어구 월드컵,1374816,56,2021-09-13 10:00:26+00:00,None,284
LOuy_4lrauM,24,Entertainment,쉽게 질리는 음식 월드컵,5684009,56,2021-09-10 10:00:11+00:00,None,285
C56L0JaoYwE,24,Entertainment,이건 못 참지! 깰 수밖에 없는 알람 월드컵,727066,56,2021-09-08 10:00:09+00:00,None,286
fkrA9P4NSEM,24,Entertainment,기분이 너무 좋을 땐? 패션왕 챌린지,626421,62,2021-09-03 10:00:33+00:00,None,287
iELgTIG8KEQ,24,Entertainment,모든 것이 감사해지는 초밥,1297827,66,2021-09-02 10:00:16+00:00,None,288
cmj1HKlahCk,24,Entertainment,김성모 & 박태준 작가 초대석,1548346,69,2021-09-01 10:00:15+00:00,None,289
dang96gloVs,24,Entertainment,'유사과학' 특강 | 제1부 유사과학에 관한 몸풀기 퀴즈,2523874,70,2021-08-05 10:30:11+00:00,None,293
Uepu0fO--9E,24,Entertainment,시청자 방 훈수하기,5548124,70,2021-08-04 10:26:48+00:00,None,294
keExg7xjO3o,24,Entertainment,5억 년 버티고 천만 원 받기 vs 그냥 살기,3213798,70,2021-08-03 10:00:31+00:00,None,295
mllPpHzhSpU,24,Entertainment,침&펄이 제작하고 싶은 영화 장르 월드컵,1232024,70,2021-07-27 10:00:19+00:00,None,296
uqt2VE8O_p8,24,Entertainment,1700만원 아반떼 vs 4000만원 아반떼,1490309,70,2021-07-25 10:00:19+00:00,None,297
qRUxCTEtKMI,24,Entertainment,음모론 & 미스터리 월드컵,5204958,70,2021-07-13 10:00:18+00:00,None,299
L9gSiyTLMe8,24,Entertainment,애니 여자 캐릭터 움짤 월드컵 1024강,1286396,70,2021-07-05 10:00:09+00:00,None,300
mmc4w1FAs50,24,Entertainment,인싸들 먹거리 탐구시간,1429031,70,2021-07-04 10:00:15+00:00,None,301
m5BJvrUz514,24,Entertainment,침착맨 삼국지 여포전,2937333,70,2021-06-29 10:00:18+00:00,None,302
NYI3nIOTHC4,24,Entertainment,세계의 특이한 법 월드컵,1243853,70,2021-06-22 10:00:21+00:00,None,304
